t,M
0.0,0.0
0.15384615384615385,0.4298943619684538
0.3076923076923077,0.8244867526274354
0.46153846153846156,1.062275024731683
0.6153846153846154,1.2396277715753907
0.7692307692307693,1.5845781125961158
0.9230769230769231,1.8730866169092186
1.0769230769230769,1.9204809070331141
1.2307692307692308,1.8031642544320066
1.3846153846153846,1.6570270154692166
1.5384615384615385,1.33854830038623
1.6923076923076923,1.2825184676748478
1.8461538461538463,0.9917740658989918
2.0,0.927872592475553
2.1538461538461537,0.814894854984572
2.3076923076923075,0.708519315561
2.4615384615384617,0.6194538493068731
2.6153846153846154,0.49179827793327485
2.769230769230769,0.47279410744117273
2.923076923076923,0.37159082938570465
3.076923076923077,0.3399390366391927
3.230769230769231,0.30490340931682913
3.3846153846153846,0.2359063125537448
3.5384615384615383,0.20227704754394762
3.6923076923076925,0.18547929625048448
3.8461538461538463,0.1592224408122011
4.0,0.13829869525022567
4.153846153846154,0.10887655418353996
4.3076923076923075,0.09774595479907491
4.461538461538462,0.08384974968409069
4.615384615384615,0.07675304608496973
4.769230769230769,0.06802080568781146
4.923076923076923,0.056323794937483816
5.076923076923077,0.05053886089731554
5.230769230769231,0.04608507056152032
5.384615384615385,0.04212481657090798
5.538461538461538,0.03625419433977256
5.6923076923076925,0.030624487477341044
5.846153846153846,0.030741775255302948
6.0,0.027235375258230363
