t,X
0.0,2.074732405375208
2.3684210526315788,0.9952544628325781
4.7368421052631575,1.0715123480443316
7.105263157894737,1.0881219638503823
9.473684210526315,1.237997131128559
11.842105263157896,1.4738970547178363
14.210526315789474,1.4845899508817693
16.57894736842105,1.622653028704566
18.94736842105263,1.7038522363817952
21.31578947368421,1.5581392641989305
23.68421052631579,1.984590292810478
26.05263157894737,1.7111361540279748
28.42105263157895,2.1180771779735936
30.789473684210527,1.972910126821588
33.1578947368421,2.1419338308605496
35.526315789473685,1.8657003179392455
37.89473684210526,1.8976954966270863
40.26315789473684,1.6438608622274664
42.63157894736842,1.608825253650551
45.0,1.6976646745682153
