t,I
0.0,1.0464287117780882
8.860759493670885,24.700996653667396
17.72151898734177,28.774605048167714
26.582278481012658,56.558049036504116
35.44303797468354,45.36791729906837
44.30379746835443,62.722060255032964
53.164556962025316,75.86799986675254
62.0253164556962,51.79941396220525
70.88607594936708,51.448475913790475
79.74683544303798,66.58371058996104
88.60759493670886,65.18413497668799
97.46835443037975,66.0968815756011
106.32911392405063,43.77983304775567
115.18987341772151,51.136333081902656
124.0506329113924,47.87666592073233
132.91139240506328,58.152086430035
141.77215189873417,60.49575879080196
150.63291139240508,47.637200660711294
159.49367088607596,50.67661263806082
168.35443037974684,55.66144517577545
177.21518987341773,59.564182131925094
186.0759493670886,50.03830227350206
194.9367088607595,36.429642724366865
203.79746835443038,50.902281006601726
212.65822784810126,41.32337835139774
221.51898734177215,39.55820281931113
230.37974683544303,31.653345449859476
239.2405063291139,41.7549156074373
248.1012658227848,37.68959380609324
256.9620253164557,27.68873200515759
265.82278481012656,40.15500017991174
274.6835443037975,20.736455713312914
283.54430379746833,46.52823211127186
292.40506329113924,29.616219770269346
301.26582278481015,25.167764487104694
310.126582278481,28.71568309176766
318.9873417721519,26.864180805177316
327.8481012658228,28.070475731093094
336.7088607594937,25.52485977519665
345.56962025316454,21.547034764395622
354.43037974683546,20.710233775755434
363.2911392405063,22.025297874371084
372.1518987341772,24.896335442452035
381.0126582278481,20.007089829164673
389.873417721519,18.086709456203984
398.73417721518985,21.369004089271623
407.59493670886076,24.163590258939838
416.45569620253167,14.250646227985634
425.3164556962025,16.671703545611408
434.17721518987344,8.717159077958275
443.0379746835443,18.96909996464516
451.8987341772152,17.04639569052715
460.75949367088606,15.437416651068238
469.62025316455697,9.968793544253348
478.4810126582278,15.213095613228742
487.34177215189874,13.841701625617164
496.2025316455696,13.927821559012838
505.0632911392405,12.479182410657895
513.9240506329114,6.815249731924263
522.7848101265823,10.427107089403977
531.6455696202531,4.123308926758231
540.506329113924,12.508775535044023
549.367088607595,10.662711358355693
558.2278481012659,7.274271765091696
567.0886075949367,8.327336580410751
575.9493670886076,7.044613211684255
584.8101265822785,8.720024401023679
593.6708860759494,6.648995968487056
602.5316455696203,7.748254700443483
611.3924050632911,5.093126923613429
620.253164556962,8.407241546184183
629.1139240506329,6.889630396058143
637.9746835443038,5.430893044387036
646.8354430379746,8.261425260290395
655.6962025316456,5.231505029539496
664.5569620253165,4.4791882745486875
673.4177215189874,4.325882338976838
682.2784810126582,5.526656175776512
691.1392405063291,3.6042010133589146
700.0,3.1150035083940315
